Ref,Val,Package,PosX,PosY,Rot,Side
"LOGO2","LOGO","Whatnick_logo",-4.760000,-4.360000,90.000000,bottom
"C1","33nF 50V","C_0603_1608Metric",5.690000,-4.200000,90.000000,top
"C2","33nF 50V","C_0603_1608Metric",5.550000,-4.200000,90.000000,top
"C3","33nF 50V","C_0603_1608Metric",5.450000,-4.350000,180.000000,top
"C4","33nF 50V","C_0603_1608Metric",5.625000,-4.350000,180.000000,top
"C5","0.1uF 25V","C_0603_1608Metric",5.230000,-4.550000,0.000000,top
"C6","2.2uF 25V","C_0805_2012Metric",5.225000,-4.475000,0.000000,top
"C7","2.2uF 25V","C_0805_2012Metric",5.163071,-4.050000,0.000000,top
"C8","0.1uF 25V","C_0603_1608Metric",5.170000,-3.970000,0.000000,top
"C9","22pF","C_0603_1608Metric",4.650000,-4.100000,-90.000000,top
"C10","22pF","C_0603_1608Metric",4.650000,-4.500000,90.000000,top
"C11","0.1uF 25V","C_0603_1608Metric",5.325000,-4.050000,180.000000,top
"J11","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",4.750000,-4.825000,90.000000,top
"L1","FB 300ohm","L_0603_1608Metric",5.468976,-4.625000,0.000000,top
"L2","FB 300ohm","L_0603_1608Metric",5.600000,-4.625000,180.000000,top
"R1","1.5k","R_0603_1608Metric",5.620000,-4.200000,90.000000,top
"R2","1.5k","R_0603_1608Metric",5.480000,-4.200000,90.000000,top
"R3","1.5k","R_0603_1608Metric",5.450000,-4.425000,180.000000,top
"R4","1.5k","R_0603_1608Metric",5.625000,-4.425000,0.000000,top
"R5","4.7k","R_0603_1608Metric",5.050000,-4.675000,-90.000000,top
"R6","0R","R_0603_1608Metric",4.800000,-3.925000,0.000000,top
"R7","10R","R_0603_1608Metric",5.618976,-4.025000,0.000000,top
"R8","4.7k","R_0603_1608Metric",4.975000,-4.050000,-90.000000,top
"R9","2.2k","R_0603_1608Metric",5.250000,-4.675000,-90.000000,top
"R10","2.2k","R_0603_1608Metric",5.350000,-4.675000,-90.000000,top
"R11","2.4R","R_0603_1608Metric",5.600000,-4.700000,0.000000,top
"R12","2.4R","R_0603_1608Metric",5.470000,-4.700000,0.000000,top
"U1","MCP39F521","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",5.196457,-4.250000,0.000000,top
"U2","MCP9700AT-ETT","SOT-23",5.475000,-4.025000,0.000000,top
"Y1","Crystal","Crystal_SMD_HC49-SD",4.825000,-4.300000,90.000000,top
